KO	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K00001	5372.799953	2384.5647	2713.961602	2694.684315	3912.201078	2661.263991	4092.076841	3372.944622	9267.776144	4953.332727	2511.850601	8605.909055	4116.846699	2362.536606	3707.883482	2204.314774	2454.788575	5361.362488	3270.001725	4220.241676	8576.521356	5869.108731	4190.53786	22114.41294	32424.38554	15968.05747	24897.58171	23528.25876	12868.35384	18304.81441	16524.55504	12916.0151	18729.69628	5800.579662	15951.48459	11678.05306	20539.65331	31868.10179	9480.094762	18977.08394	4796.210024	13394.37584	9884.353121	8473.935018	16650.28583	7996.173471	3224.473385	6277.476453	3476.526642	7750.155629	5953.528352	2879.52217	4074.630246	8495.56796	5291.630622	7252.779292	5992.535858	12901.77964	7704.902045	10510.32779	6969.565361	6759.585009	8872.103675	5522.856202	9403.275172	40504.84509	4882.294921	7080.800417	3792.080165	5557.331587	7843.356234	22408.22072	8331.642799	8374.556735	6164.471153	22528.36917	13025.06199	6827.222074	6779.715174	7768.127511	7874.115413	2896.783941	7829.607079	18188.66928	16177.08582	11854.34864	19272.1938	24142.31119	22835.63196	13374.65549	21162.68505
K00003	7722.281752	4923.908239	4326.344455	5006.727964	5594.176771	3940.141902	7553.763212	5134.606961	13427.60952	4901.266183	4029.493291	8216.11133	4248.660204	3828.667904	3600.155933	2194.345288	3070.742437	6288.515706	5172.678981	5209.38371	12364.11744	6546.184688	5996.670418	35460.06754	51319.55732	21423.02992	47732.38691	46145.76615	29110.2852	32597.30053	28458.13776	14072.32664	36061.70864	7262.174868	17577.76714	15972.17192	19435.29886	35017.91898	18967.93547	35112.37703	7005.733966	13185.63477	13991.70889	11948.61151	19868.75844	12485.96245	3907.65808	9646.569572	7009.238776	10517.55956	10861.34939	8085.178919	15509.37923	12947.29945	9608.928117	12927.53664	9378.512745	13823.96047	7956.852524	10624.04139	7683.651613	12051.00789	11410.73239	10183.9397	11085.52768	40443.57837	11595.11483	10591.14396	13357.18138	6374.699585	13151.56324	27237.00009	8803.05214	8528.708535	10482.62671	21380.70547	10480.07998	16002.18638	9798.409912	12265.95643	12354.38132	4991.60612	9809.773363	27808.15947	21848.43277	16583.25929	17440.31258	28226.78755	27897.80262	24366.53519	22604.36592
K00004	2047.55	1084.163333	1158.67	833.5	1953.33	398.83	1817.333333	1153.953333	2582.97381	2465.33	1421.82	5520.631429	1162.289899	245	447.1142857	36	144.3333333	2797	1253.83	2474.257143	823.83	3459.553333	1154.027143	3867.83	20459.91667	7167.329455	12221.5099	9518.583333	617.2233333	2857.079293	7692.044286	582.8066667	7766.756667	74.48571429	5834.589841	3608.190476	8380.763333	12210.94667	2455.336667	8897.384286	783	3260.165	260.67	642	475.5271429	1136.958571	553.2628571	796.83	659.33	267.67	505.8142857	857.1	1637.83	1492.556667	1570.83	3156.6	1543.69	162.6633333	880.0033333	1277.5	1057.67	188.5566667	1370.171905	1705.67	732.1319048	32247.45571	360	430.38	306.33	3226.943333	863.9285714	507.2014286	443.6666667	1818.05	660.82	2867.6	1252.17	1230.609524	2019.66	1967.258571	3909.1	345.83	2467.053333	6224.351818	9530.202857	4528.827143	1982.616667	15690.44667	14138.83333	6571.691111	14928.33
K00005	172.2158712	196.0847024	130.1297619	145.6591667	13.63666667	322.6725	251.5754762	37.46814394	231.5583333	302.7857738	36.37428571	113.5984524	264.8730952	106.896369	793.6621429	192.32	53.40875	358.3964286	1037.931071	114.7479762	463.7391071	75.96380952	152.6072998	722.8782738	1315.079881	465.7994167	3683.145417	834.2899405	922.1941071	2184.107083	1975.459048	701.475	1394.674405	828.1599405	382.0323214	859.2313095	918.4442857	1781.879226	460.0656548	858.7916071	701.583631	147.8194048	694.6219048	1071.885346	872.815381	699.7673214	224.0285714	564.8994048	57.21083333	201.0407738	176.332381	140.8726786	1490.384345	706.2427381	314.6900595	670.2155952	130.03125	1029.653571	407.6706548	549.7904167	442.5432143	375.6730952	523.3166667	360.9545238	341.5074405	276.2483333	227.2457738	244.5980357	941.9347024	849.8285714	554.8610714	1038.45369	525.4795833	181.7775595	351.4457738	3881.561667	479.5959643	812.2230952	304.0816667	338.2104167	2161.344464	185.1873214	803.676131	666.8046429	771.2967857	1783.309881	387.16	566.9799405	678.13875	1015.11579	550.7164286
K00006	7703.682227	4538.866241	4228.818161	4966.924727	6061.418089	4207.881252	11425.50772	4997.609112	13521.62766	4974.696167	3827.947755	8667.642188	4265.410187	5649.761072	5018.934748	2204.133774	3094.946188	6215.304485	5221.162792	5053.637791	12128.23502	6638.690436	5957.308999	33867.97894	52372.83063	20712.15587	43645.42846	44627.98846	25329.32319	29261.62598	26256.55718	14256.87296	33064.02801	13757.48832	17642.18993	15179.75949	20698.42507	36977.20655	18611.52971	35063.88273	16185.51716	15621.06654	14140.19388	11437.04565	19491.6506	18090.38957	4075.00601	9799.225342	6917.611077	11610.4736	9271.645128	7516.338086	11994.70787	14988.3861	13621.86136	15812.53814	13126.26741	13598.89201	8667.508253	10711.00043	7748.995648	11765.66113	11350.51618	13588.43051	11521.85983	40502.26918	10593.50027	10298.55167	12708.36793	10024.14944	13218.16048	25555.35689	9017.962884	8811.032489	10914.64128	23498.60825	13615.01252	15813.86514	9811.072194	12334.16304	12648.31016	4608.573282	18241.85201	27209.00145	24183.96655	14040.69355	18211.81565	28100.4642	27749.52236	23050.47422	22613.61518
K00007	130	138.335	134.335	116.165	442.335	58.165	358	224.5	504	508.5	240.335	1099.835	197	45.5	81.5	12.5	23.165	528.665	163.5	428.835	149	643.335	205.5	800.335	3822.165	671.165	2423.835	2533	112.335	443.335	789	130.665	1558	15.665	1227.835	978.835	1675.5	3354.005	613.835	2181.665	176.495	540.335	71.335	132.5	94	99.5	62	133.335	133.335	40.665	106.665	202.165	354.165	297.5	270.165	228.665	280.5	13.5	63	93.665	78.5	16	254.335	332.5	127.665	6280.665	57.5	108.665	21.835	196.835	199	42	30.335	326	153.335	173.335	248.665	258.335	374.5	380.665	623.835	85.165	489.5	1550.665	2097.67	770	480.835	2955.83	2693	1297.835	3247.665
K00008	172.3	263.5233333	76.03333333	16.7	8	100.4	119.3233333	17.4	652.9333333	28.94333333	8.6	19.89	34.4	105.1766667	682.72	5.443333333	69.6	17.29	436.2133333	15.81	125.9566667	285.7566667	36.26666667	252.8333333	2155.476667	5884.547333	3224.5	569.8333333	556.9433333	270.6766667	1969.1	526.6233333	644.07	148.81	375.81	449.89	13.84333333	622.2366667	305.8	468.0233333	180.5533333	0	2193.943333	102.9566667	251.7333333	599.8866667	94.7	242	309.2233333	41.5	500.5566667	45.5	166.2766667	463.1233333	1254.69	33.8	724.89	83	141.1333333	209.4666667	102.4	2914.933333	253.3766667	222.5	172.63	38.8	123.0566667	283.9233333	333.6666667	65.49	373.1766667	156.61	60	73.8	117	344.9566667	21.10666667	4203.276667	225.43	1416.606667	266.1	451.0566667	69.5	411.4	122.4	1670.01	9357.276667	4059.706667	732.2233333	228	423.5
K00009	46.82541667	84.08625	0.915	3.6225	7.236666667	183.6225	150.5542816	23.44541667	134.1058333	241.1529167	23.04	75.15916667	286.8716667	17.11208333	71.03166667	192.32	42.03875	37.975	763.4958333	59.89083333	205.40625	35.70666667	25.42041667	452.4854167	35.6125	8.592916667	8.535416667	195.1195833	471.0129167	685.4645833	5.625	265.635	59.9525	75.29375	269.3454167	93.40416667	124.6476724	505.08125	34.21125	320.0045833	79.23791667	106.8208333	411.0958333	97.22083333	138.875	38.96625	28.14	97.63083333	12.33083333	74.87696429	88.98	65.58125	4.267916667	137.71	33.84958333	54.11083333	99.18125	963.975	302.9904167	514.0904167	305.1675	60.52166667	409.4366667	14.47166667	251.6045833	184.7983333	95.63958333	188.48375	597.4870833	15.00333333	67.1875	748.5408333	473.4295833	195.6804167	126.4470833	1825.965	60.79125	2.491666667	14.66234848	10.31041667	1.99875	45.75875	18.53625	416.78	25.7625	4.8	193.6641667	141.5441071	412.82125	39.43916667	13.18071429
K00010	2398.80625	1465.175417	1586.048333	1165.654167	3124.8825	756.655	2616.15	1734.12125	3532.485	3261.40125	1785.13	6762.865	1677.3325	510.10125	1779.715833	244.3	299.60625	3829.53	1875.691667	3030.8275	1541.79875	4287.2	1648.34375	8406.93875	26292.08417	4164.02625	18388.85625	13865.13625	1803.714583	4600.44375	10258.11833	1587.635	10376.47083	688.3095833	7878.604583	5370.535	10267.485	17397.00458	3598.282083	11788.53792	1579.49125	3906.2725	1027.4525	1114.8275	1106.282167	2088.42625	1199.46	1348.6375	1220.91	496.0179167	1040.714167	1336.91875	2574.68125	2889.046667	2112.527083	4005.423333	2311.78125	1442.755	1547.935417	1954.53125	1666.555	855.895	2766.2875	2608.9375	1327.44625	38708.975	795.7945833	1084.73875	1366.014583	4210.724167	1564.5775	1548.37	981.08925	2308.12375	1147.962083	4959.376667	1743.53025	2356.32	3049.136667	2762.19125	4956.74125	654.88125	4164.515417	8566.88	12508.635	7903.206667	2676.455833	18987.17875	17563.42875	8812.4725	19603.9225
K00011	5510.949953	2445.691486	2734.011602	2741.266815	3912.976078	2696.258991	4104.808984	3392.619622	9598.842572	4953.332727	2526.759887	8622.021341	4117.418127	2427.760392	3880.249911	2206.562774	2463.611575	5426.763917	3485.56244	4259.928819	8923.856713	5950.015874	4310.341788	22189.35401	33547.59368	15995.22797	24973.76171	24046.17461	12966.5217	19718.49441	16649.19754	13066.8026	19451.96542	6064.631662	16050.04516	11735.58678	20579.2897	32326.00093	9630.889762	19773.47194	5372.100739	13414.93141	10146.18869	8667.381804	16870.16155	8156.479542	3226.444813	6695.105025	3557.456642	7814.185986	6054.979566	2906.92217	5062.794175	9063.729031	5495.259194	7323.368221	6149.440858	12926.09771	7928.579188	10515.32779	7033.504647	6815.843938	9398.683675	5555.256202	9436.222315	40561.34509	4925.887778	7141.364703	3815.594451	5703.841587	8161.552305	22655.76358	8470.240799	8497.620663	6595.210796	22547.74417	13075.77828	7189.109574	6816.263174	7805.877511	8574.713984	2920.775012	8261.518151	18259.21393	16436.8076	11861.26292	19287.0938	24204.35405	22965.17146	14280.88071	21207.15597
K00012	5772.854562	3621.140088	3303.871821	4112.095079	4227.344011	1650.464285	9494.839248	3884.767732	9706.16352	3263.544631	3051.192869	6930.596133	1978.581005	4762.53568	3608.942591	69.83083333	1706.387613	4567.131402	4599.863792	4055.933139	5334.129471	5648.363658	3919.607832	18351.93381	50054.96412	16117.77123	34286.97299	35981.20475	16963.12765	21692.28011	24178.13083	7152.21886	27497.2667	9346.60952	11805.56003	8968.851194	14901.43292	23342.96424	15855.10988	25581.29632	13263.03478	6194.05356	8633.892024	7402.972245	13270.23243	14691.05535	1670.33253	4506.233052	5987.917103	9230.885494	4763.144729	5704.450012	11022.69478	10160.97193	12376.53919	13882.05109	9636.96977	6262.338293	2288.561494	3854.54588	2700.033073	9999.717024	7465.594391	8232.91789	4734.569398	38640.14223	6250.43499	4770.459303	9952.517976	8578.299096	10664.0092	20018.74881	4281.620084	4583.68654	8020.388219	5059.274407	6040.684479	14431.4995	6611.859749	10866.80412	8270.843017	3099.886937	15059.66242	24232.30494	18618.84452	8588.341721	13802.92554	27267.17919	21712.98395	19306.06781	20527.67042
K00013	6064.470931	3451.705534	3538.003388	4031.478293	4495.211075	2053.46492	5463.764958	4409.036313	10576.3484	3574.616905	3335.473523	7022.569338	2630.928523	2655.668438	2626.466674	292.0508333	1869.216502	5512.53539	4611.516709	4340.737097	6667.757982	5765.059114	4312.860094	23807.47169	45991.09268	20986.78284	40819.33578	26014.40146	16342.05224	25116.8298	24888.00259	8539.936162	27888.71297	3211.392992	14538.83505	11316.58772	16300.59319	24119.12314	16837.81081	23911.82236	5500.812243	6371.128366	8494.647698	9450.365836	14630.93116	9590.777198	3111.719911	5675.619381	5098.792122	8461.953827	7631.091792	5902.071718	11925.7141	10118.88486	7752.721935	8685.496487	5971.823401	8239.981686	4320.167634	5806.514154	4241.005097	9295.101488	8815.437546	6003.577009	5675.475767	39304.50807	6711.443026	6026.009005	11207.25673	5499.083322	10499.29301	21025.94208	5541.78068	5476.800752	6737.795362	9536.088891	6595.094161	12963.46604	7438.723887	9649.334006	10335.09424	3466.126877	6856.445988	25052.72471	16918.9795	12775.88571	13941.84812	25317.38604	22342.52071	20349.88455	21021.97042
K00014	7589.724966	4921.744311	4327.950169	5013.832249	5942.627128	4209.339259	7546.748653	5177.553452	13143.64112	4895.826183	4017.141863	8184.032544	4267.78318	3974.317118	3442.694004	2197.441288	3063.615413	6273.631563	5168.687731	5196.919424	12256.95565	6462.838022	6004.846132	35300.37469	51485.17161	21444.64235	47717.16141	46186.87241	29188.01782	32709.31332	28932.10561	13927.55816	35943.65864	7111.769796	17533.63061	15898.85775	19339.73172	30835.94324	19026.38497	34722.85832	6989.652537	13161.8062	14012.20674	12113.67951	19795.31916	14146.53613	3870.792652	9243.776001	6943.344133	11284.08342	10872.66046	8076.584276	15601.04591	13230.81966	9566.317045	12759.06556	9398.998459	13791.57695	7721.196571	10677.94189	7594.589828	11836.66313	10916.27222	10193.611	11062.42101	40412.64437	11567.13483	10593.60896	13392.32745	6261.14499	13293.73682	27158.54187	8715.932378	8495.711106	10733.21778	21375.82176	10407.57512	16085.20805	9699.091126	12230.43821	12209.11167	4924.692906	10302.6258	27949.41207	22220.53456	16470.36	20087.52725	28330.10486	27769.82374	24192.53362	22582.76057
K00015	149.2	275.66	157.2266667	174.815	514.11	78.30285714	427.5948768	261.7157143	537.6878571	508.5	302.185	1104.069286	198.8265657	71.45	92.75	12.5	23.415	531.965	174	434.76	160.65	650.1964286	238.95	808.91	4096.893333	4974.295455	2868.599185	2819.585238	286.9933333	512.5607215	974.5004762	140.49	1809.42381	20.69	1248.230556	1013.260714	1731.707077	3390.974167	677.9745238	2396.444167	190.0628571	545.8364286	95.21	138.295	148.2715476	183.5835714	67.90285714	152.46	222.435	253.1466667	163.8066667	348.315	706.14	401.5695238	424.8983333	527.0733333	295.1507143	16.5	76.19166667	94.41357143	88.80714286	26.725	274.8107143	412.8780952	175.545	6285.522143	65.23333333	226.69	120.5683333	255.26	232.15	103.475	37.443	326	261.3536905	233.5641667	256.1221429	744.4	486.432381	687.6664286	740.0919048	141.765	614.225	1907.991818	2167.470952	996.5666667	774.7061905	2961.262857	2823.565714	1492.951468	3340.315
K00016	2438.80712	1580.61527	1685.139435	929.774648	2352.109078	2672.033967	3084.066151	1666.902708	4431.899915	2347.502393	1324.059887	2720.438255	2596.798928	1458.593392	1817.294577	2158.296941	1472.596775	2252.226083	1710.60994	1545.233652	5622.470747	1722.109779	2436.772622	20103.16018	5717.84575	1907.399593	16617.63702	13213.19821	14507.59387	12888.30198	8682.941193	7677.170103	10542.96444	3994.789462	7460.687108	7504.159727	8186.99563	13002.75223	3935.792072	13780.44211	4305.884048	10141.11698	5623.992859	4483.315137	4015.514168	5206.005971	3045.843623	5172.402525	1169.974975	3187.526486	6852.3284	2688.130503	5315.512842	5520.174007	3876.179194	1880.175388	3657.727644	7622.677715	6222.824654	7126.807554	5169.032004	2675.552104	4529.218794	6242.02494	5567.529148	8298.317946	5911.958611	5981.441369	3595.678284	1632.84492	2950.027805	7138.565846	5008.120799	4341.459487	3526.410439	18884.62	8266.60547	2300.422074	3411.180994	1364.345775	4786.709113	1937.901345	4158.167651	5445.694943	8358.558819	9837.542921	7858.56058	4273.894528	9269.955412	6552.384238	6457.047474
K00018	149.2	275.66	157.2266667	174.815	514.11	78.30285714	427.5948768	261.7157143	537.6878571	508.5	302.185	1104.069286	198.8265657	71.45	92.75	12.5	23.415	531.965	174	434.76	160.65	650.1964286	238.95	808.91	4096.893333	4974.295455	2868.599185	2819.585238	286.9933333	512.5607215	974.5004762	140.49	1809.42381	20.69	1248.230556	1013.260714	1731.707077	3390.974167	677.9745238	2396.444167	190.0628571	545.8364286	95.21	138.295	148.2715476	183.5835714	67.90285714	152.46	222.435	253.1466667	163.8066667	348.315	706.14	401.5695238	424.8983333	527.0733333	295.1507143	16.5	76.19166667	94.41357143	88.80714286	26.725	274.8107143	412.8780952	175.545	6285.522143	65.23333333	226.69	120.5683333	255.26	232.15	103.475	37.443	326	261.3536905	233.5641667	256.1221429	744.4	486.432381	687.6664286	740.0919048	141.765	614.225	1907.991818	2167.470952	996.5666667	774.7061905	2961.262857	2823.565714	1492.951468	3340.315
K00019	153.8	213.6483333	146.425	124.365	446.335	59.565	359.7914286	242.3212	524.6	509.004	243.935	1103.5338	231.5765657	51.9	101.1	17.5	94.43	547.065	166.17	433.9462	224.4	664.535	214.1	804.505	3841.201667	4900.910455	2426.184899	2535.666667	112.335	573.1757215	799.7412	250.065	1633.013333	34.865	1400.797222	1056.835	1734.233333	3481.1212	636.3016667	2192.969	215.495	541.003	71.335	202.9	157.29	175.1	82.2	204.335	133.335	69.95071429	126.665	202.165	354.165	342.26	284.965	241.795	331.5	68.5	149.1212	251.465	99.98	69.6	285.935	333.004	262.465	6324.595	57.5	120.865	21.835	210.795	257.4	42	45.335	347.8	270.335	405.065	248.665	258.335	386.1	389.665	625.9138	97.165	522.5	1597.246818	2135.87	793.4	481.0762	3003.679524	2695.735	1328.026111	3251.540714
K00020	3843.605536	1422.958869	1743.090357	1997.843214	2798.234286	872.6407143	2666.408555	2454.981379	7541.977143	3399.100964	2067.613571	6938.544157	2111.793351	1673.310536	1302.352143	256.1375	1627.43375	4444.986071	1664.735107	3607.605486	4363.162679	4587.422857	2991.525179	12928.76518	41805.73981	13520.19599	18135.91472	17637.89292	4886.53875	15715.74876	14186.24656	6521.167857	13964.0669	1820.141607	10947.48919	7542.679643	14862.59529	19049.66484	6667.492917	14222.54618	2574.895179	3884.446929	2981.911786	6320.926786	11449.628	5797.204	2123.670714	3581.434286	2641.098214	5344.88125	2185.284286	1451.304107	2601.207714	4331.058679	2452.886964	5719.921786	3492.810179	6492.924643	2289.409236	4182.005179	3189.926429	3352.930714	6869.781786	2592.725071	4340.25375	38937.18214	2383.193036	2903.593036	1280.21625	4091.755714	5875.256786	17263.54643	4110.647679	4347.94625	4487.436964	7838.743429	5720.902393	2199.282143	6655.688777	5567.827679	7069.448621	1291.379107	5372.039214	20459.4255	13930.00964	6982.2275	2927.746557	20082.96304	18644.99554	10289.2604	18680.04
K00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00022	3843.605536	1422.958869	1743.090357	1997.843214	2798.234286	872.6407143	2666.408555	2454.981379	7541.977143	3399.100964	2067.463571	6938.544157	2111.793351	1673.310536	1302.352143	256.1375	1627.43375	4444.986071	1664.735107	3607.605486	4363.162679	4587.422857	2991.525179	12928.76518	41805.73981	13520.19599	18135.91472	17637.89292	4886.53875	15715.74876	14186.24656	6521.167857	13964.0669	1820.141607	10947.48919	7542.679643	14862.59529	19048.66484	6667.492917	14222.54618	2574.895179	3884.446929	2981.911786	6320.926786	11449.628	5797.204	2123.670714	3581.434286	2641.098214	5344.88125	2185.284286	1451.304107	2601.207714	4331.058679	2452.886964	5719.321786	3492.290179	6492.924643	2289.409236	4182.005179	3189.926429	3352.930714	6869.781786	2592.725071	4340.25375	38937.18214	2383.193036	2903.593036	1280.21625	4091.755714	5875.256786	17263.54643	4110.647679	4347.94625	4487.436964	7838.743429	5720.902393	2199.282143	6655.688777	5567.827679	7068.848621	1291.379107	5372.039214	20459.4255	13929.32964	6982.2275	2927.746557	20082.96304	18644.99554	10289.2604	18680.04
K00024	4149.220607	3522.926421	2646.228226	3238.257079	3772.062011	1585.898785	9168.636696	2915.668004	5340.233948	3003.131774	2703.422869	6646.514133	1447.506959	3443.14318	2736.470171	50.94133333	225.220613	3764.671902	4490.730435	3455.145639	2801.167471	4980.187658	2457.141377	11802.45576	33829.21938	14454.57969	33665.91294	31232.52825	14945.11982	11951.88412	17063.13928	1508.65486	23759.11874	7402.506663	8013.492194	6488.997766	10128.33095	20087.45207	12378.5023	20529.20479	12341.35428	6112.50056	6583.645024	2942.113517	2969.139429	10584.63535	994.4933872	2332.570317	4271.711103	4041.741113	2889.680729	5410.822583	10837.54828	8392.445646	12004.56717	11504.44576	8188.04227	1065.321793	1534.742398	1424.97588	1281.693144	6433.503024	2607.388891	7878.707866	1664.854184	38589.22223	4508.184157	2596.915303	9242.405143	8248.755525	5988.05067	4220.838307	1109.443084	2530.363326	4317.391672	3797.89124	1765.72905	14040.67807	2877.351083	7474.818621	8469.489747	2067.872437	12561.28061	11550.25625	16960.0974	7624.938126	13527.2502	26961.2815	21029.96495	17504.73849	19494.0307
K00025	4149.220607	3522.926421	2646.228226	3238.257079	3772.062011	1585.898785	9168.636696	2915.668004	5340.233948	3003.131774	2703.422869	6646.514133	1447.506959	3443.14318	2736.470171	50.94133333	225.220613	3764.671902	4490.730435	3455.145639	2801.167471	4980.187658	2457.141377	11802.45576	33829.21938	14454.57969	33665.91294	31232.52825	14945.11982	11951.88412	17063.13928	1508.65486	23759.11874	7402.506663	8013.492194	6488.997766	10128.33095	20087.45207	12378.5023	20529.20479	12341.35428	6112.50056	6583.645024	2942.113517	2969.139429	10584.63535	994.4933872	2332.570317	4271.711103	4041.741113	2889.680729	5410.822583	10837.54828	8392.445646	12004.56717	11504.44576	8188.04227	1065.321793	1534.742398	1424.97588	1281.693144	6433.503024	2607.388891	7878.707866	1664.854184	38589.22223	4508.184157	2596.915303	9242.405143	8248.755525	5988.05067	4220.838307	1109.443084	2530.363326	4317.391672	3797.89124	1765.72905	14040.67807	2877.351083	7474.818621	8469.489747	2067.872437	12561.28061	11550.25625	16960.0974	7624.938126	13527.2502	26961.2815	21029.96495	17504.73849	19494.0307
K00026	4149.220607	3522.926421	2646.228226	3238.257079	3772.062011	1585.898785	9168.636696	2915.668004	5340.233948	3003.131774	2703.422869	6646.514133	1447.506959	3443.14318	2736.470171	50.94133333	225.220613	3764.671902	4490.730435	3455.145639	2801.167471	4980.187658	2457.141377	11802.45576	33829.21938	14454.57969	33665.91294	31232.52825	14945.11982	11951.88412	17063.13928	1508.65486	23759.11874	7402.506663	8013.492194	6488.997766	10128.33095	20087.45207	12378.5023	20529.20479	12341.35428	6112.50056	6583.645024	2942.113517	2969.139429	10584.63535	994.4933872	2332.570317	4271.711103	4041.741113	2889.680729	5410.822583	10837.54828	8392.445646	12004.56717	11504.44576	8188.04227	1065.321793	1534.742398	1424.97588	1281.693144	6433.503024	2607.388891	7878.707866	1664.854184	38589.22223	4508.184157	2596.915303	9242.405143	8248.755525	5988.05067	4220.838307	1109.443084	2530.363326	4317.391672	3797.89124	1765.72905	14040.67807	2877.351083	7474.818621	8469.489747	2067.872437	12561.28061	11550.25625	16960.0974	7624.938126	13527.2502	26961.2815	21029.96495	17504.73849	19494.0307
K00027	634.2097024	246.1205357	526.1545238	954.8882143	695.1509524	305.5982143	652.5257102	1079.666845	616.6029762	287.048631	79.48857143	203.2570238	360.7059524	1187.026369	562.1788095	192.32	188.10875	827.0035714	399.7353571	200.565119	1615.687679	324.6595238	669.9018452	6378.976845	2849.024881	177.9322024	812.0839881	2033.39125	4907.80625	3356.218869	3171.25119	1069.063571	1250.144405	677.1323214	1012.746131	1044.01131	511.4415415	2497.16006	137.0279167	829.3960119	1888.482679	266.0722619	1065.910119	3268.705119	752.3483333	3261.944821	1735.905714	891.965119	515.5765476	286.433631	635.4709524	113.2241071	1276.613631	2175.808095	1063.198631	665.8884524	689.1126786	1893.202143	1047.116369	713.2318452	932.0089286	886.507381	1457.429524	617.3169048	833.6245833	362.6254762	920.0672024	573.9280357	642.0204167	409.8490476	2702.705357	1488.51369	643.8410119	315.2254167	658.3327976	1920.143095	299.4233929	432.2116667	943.7904437	324.3818452	1764.610655	146.8116071	1523.871964	360.0714286	1345.829643	936.1888095	526.5270238	154.9150595	1439.470536	1487.753452	987.2007143
K00028	634.2097024	246.1205357	526.1545238	954.8882143	695.1509524	305.5982143	652.5257102	1079.666845	616.6029762	287.048631	79.48857143	203.2570238	360.7059524	1187.026369	562.1788095	192.32	188.10875	827.0035714	399.7353571	200.565119	1615.687679	324.6595238	669.9018452	6378.976845	2849.024881	177.9322024	812.0839881	2033.39125	4907.80625	3356.218869	3171.25119	1069.063571	1250.144405	677.1323214	1012.746131	1044.01131	511.4415415	2497.16006	137.0279167	829.3960119	1888.482679	266.0722619	1065.910119	3268.705119	752.3483333	3261.944821	1735.905714	891.965119	515.5765476	286.433631	635.4709524	113.2241071	1276.613631	2175.808095	1063.198631	665.8884524	689.1126786	1893.202143	1047.116369	713.2318452	932.0089286	886.507381	1457.429524	617.3169048	833.6245833	362.6254762	920.0672024	573.9280357	642.0204167	409.8490476	2702.705357	1488.51369	643.8410119	315.2254167	658.3327976	1920.143095	299.4233929	432.2116667	943.7904437	324.3818452	1764.610655	146.8116071	1523.871964	360.0714286	1345.829643	936.1888095	526.5270238	154.9150595	1439.470536	1487.753452	987.2007143
K00029	5778.254848	4175.420057	3596.193746	3781.071626	4950.899765	2406.595872	5961.75703	3699.852825	10231.91383	3371.714131	3612.945845	6903.540433	2174.246461	2382.816569	2978.016079	103.1438333	1151.836109	5242.702533	3991.376745	4493.433704	7673.357566	5693.958376	4614.473439	25506.39858	35226.39446	12674.35125	37780.27812	40016.81999	19233.29968	20099.1193	22815.17815	8130.481448	31910.11075	3987.659813	12077.98608	11433.84967	15120.02387	26525.92746	16791.12474	33229.49334	4312.353969	6186.856199	8779.854151	6486.796264	15203.5157	9140.222436	1832.232197	7256.206012	6114.083801	9457.476982	7253.194971	6616.685182	14462.71162	9294.267713	8014.138376	11327.82643	7341.667389	6797.773579	2727.03467	3957.29088	3928.214656	7736.506524	7365.768891	7781.45389	6328.404256	38780.78973	9070.1063	6748.043517	10685.24345	5419.286775	8888.571083	21679.65918	4596.847013	5251.822716	8852.225005	7851.23626	6055.244745	14709.76616	6502.457125	10254.48514	9965.372455	3894.04908	8257.639738	21367.62938	19324.18583	10396.11414	13612.63237	27039.45317	23312.77002	21431.93739	19844.05563
